date,open,close,high,low,amount,fetch_time
2020-01-02,1.061,1.049,1.067,1.045,13958113.9,2026-02-13 04:04:01
2020-01-03,1.047,1.045,1.057,1.04,10606710.74,2026-02-13 04:04:01
2020-01-06,1.037,1.045,1.068,1.032,13280328.35,2026-02-13 04:04:01
2020-01-07,1.048,1.053,1.059,1.037,10994682.88,2026-02-13 04:04:01
2020-01-08,1.043,1.021,1.043,1.017,18523878.23,2026-02-13 04:04:01
2020-01-09,1.036,1.036,1.044,1.03,10712290.99,2026-02-13 04:04:01
2020-01-10,1.052,1.038,1.055,1.03,11193465.34,2026-02-13 04:04:01
2020-01-13,1.031,1.05,1.051,1.019,16270895.39,2026-02-13 04:04:01
2020-01-14,1.051,1.036,1.054,1.035,11742463.79,2026-02-13 04:04:01
2020-01-15,1.033,1.031,1.04,1.028,8506679.29,2026-02-13 04:04:01
2020-01-16,1.034,1.026,1.034,1.025,6717494.47,2026-02-13 04:04:01
2020-01-17,1.03,1.031,1.046,1.029,11804336.39,2026-02-13 04:04:01
2020-01-20,1.031,1.046,1.048,1.026,10718493.03,2026-02-13 04:04:01
2020-01-21,1.04,1.028,1.047,1.026,11157068.98,2026-02-13 04:04:01
2020-01-22,1.02,1.035,1.042,1.003,15912163.24,2026-02-13 04:04:01
2020-01-23,1.02,0.994,1.025,0.982,17670096.05,2026-02-13 04:04:01
2020-02-03,0.895,0.895,0.899,0.895,8736520.0,2026-02-13 04:04:01
2020-02-04,0.875,0.892,0.899,0.871,27648577.98,2026-02-13 04:04:01
2020-02-05,0.896,0.905,0.928,0.888,20839510.97,2026-02-13 04:04:01
2020-02-06,0.902,0.928,0.935,0.895,19292035.68,2026-02-13 04:04:01
2020-02-07,0.92,0.929,0.935,0.917,14539686.57,2026-02-13 04:04:01
2020-02-10,0.922,0.938,0.945,0.921,13714757.6,2026-02-13 04:04:01
2020-02-11,0.945,0.937,0.959,0.936,16405575.6,2026-02-13 04:04:01
2020-02-12,0.933,0.953,0.957,0.933,13316512.93,2026-02-13 04:04:01
2020-02-13,0.95,0.937,0.957,0.933,11028933.98,2026-02-13 04:04:01
2020-02-14,0.934,0.954,0.965,0.933,17458277.11,2026-02-13 04:04:01
2020-02-17,0.98,1.004,1.007,0.97,22568256.85,2026-02-13 04:04:01
2020-02-18,1.003,0.997,1.007,0.988,13542578.79,2026-02-13 04:04:01
2020-02-19,0.996,0.999,1.02,0.993,16117291.91,2026-02-13 04:04:01
2020-02-20,1.0,1.068,1.069,1.0,26461990.05,2026-02-13 04:04:01
2020-02-21,1.066,1.064,1.097,1.047,32657847.74,2026-02-13 04:04:01
2020-02-24,1.058,1.065,1.079,1.047,21233273.38,2026-02-13 04:04:01
2020-02-25,1.048,1.073,1.076,1.021,29595017.78,2026-02-13 04:04:01
2020-02-26,1.051,1.053,1.084,1.045,22548927.41,2026-02-13 04:04:01
2020-02-27,1.059,1.055,1.077,1.046,19641123.31,2026-02-13 04:04:01
2020-02-28,1.025,0.987,1.032,0.982,27670601.74,2026-02-13 04:04:01
2020-03-02,1.001,1.036,1.045,0.991,25145814.74,2026-02-13 04:04:01
2020-03-03,1.055,1.046,1.073,1.033,21197921.38,2026-02-13 04:04:01
2020-03-04,1.04,1.075,1.076,1.037,23285166.3,2026-02-13 04:04:01
2020-03-05,1.091,1.108,1.124,1.066,33146839.34,2026-02-13 04:04:01
2020-03-06,1.088,1.067,1.093,1.066,22442184.34,2026-02-13 04:04:01
2020-03-09,1.044,1.034,1.058,1.022,24680080.36,2026-02-13 04:04:01
2020-03-10,1.038,1.068,1.073,1.023,24477773.86,2026-02-13 04:04:01
2020-03-11,1.063,1.037,1.066,1.036,14894745.88,2026-02-13 04:04:01
2020-03-12,1.021,1.025,1.037,1.013,15688937.26,2026-02-13 04:04:01
2020-03-13,0.978,1.016,1.03,0.971,24223275.25,2026-02-13 04:04:01
2020-03-16,1.015,0.959,1.018,0.955,23329970.07,2026-02-13 04:04:01
2020-03-17,0.976,0.961,0.985,0.937,16222771.22,2026-02-13 04:04:01
2020-03-18,0.964,0.93,0.975,0.929,15802574.78,2026-02-13 04:04:01
2020-03-19,0.932,0.942,0.953,0.913,23053059.14,2026-02-13 04:04:01
2020-03-20,0.949,0.954,0.955,0.933,13285745.92,2026-02-13 04:04:01
2020-03-23,0.922,0.912,0.937,0.911,13659181.33,2026-02-13 04:04:01
2020-03-24,0.931,0.936,0.937,0.909,16823498.1,2026-02-13 04:04:01
2020-03-25,0.957,0.951,0.96,0.941,19512516.58,2026-02-13 04:04:01
2020-03-26,0.943,0.934,0.948,0.933,9534767.18,2026-02-13 04:04:01
2020-03-27,0.945,0.941,0.958,0.938,14141772.89,2026-02-13 04:04:01
2020-03-30,0.925,0.932,0.936,0.92,8916278.71,2026-02-13 04:04:01
2020-03-31,0.94,0.927,0.941,0.926,8429179.69,2026-02-13 04:04:01
2020-04-01,0.922,0.922,0.94,0.921,9726397.32,2026-02-13 04:04:01
2020-04-02,0.919,0.94,0.941,0.918,9527609.43,2026-02-13 04:04:01
2020-04-03,0.934,0.926,0.936,0.923,6998719.76,2026-02-13 04:04:01
2020-04-07,0.942,0.948,0.951,0.936,16158445.33,2026-02-13 04:04:01
2020-04-08,0.941,0.943,0.948,0.938,7195484.07,2026-02-13 04:04:01
2020-04-09,0.951,0.952,0.967,0.95,15438375.61,2026-02-13 04:04:01
2020-04-10,0.954,0.939,0.956,0.937,9812494.08,2026-02-13 04:04:01
2020-04-13,0.931,0.929,0.934,0.924,9267862.47,2026-02-13 04:04:01
2020-04-14,0.935,0.954,0.965,0.931,15105855.47,2026-02-13 04:04:01
2020-04-15,0.949,0.944,0.962,0.942,10635529.88,2026-02-13 04:04:01
2020-04-16,0.938,0.952,0.963,0.937,12604090.89,2026-02-13 04:04:01
2020-04-17,0.959,0.95,0.961,0.949,10198035.59,2026-02-13 04:04:01
2020-04-20,0.953,0.954,0.954,0.948,5883918.32,2026-02-13 04:04:01
2020-04-21,0.949,0.936,0.949,0.931,8511292.27,2026-02-13 04:04:01
2020-04-22,0.93,0.939,0.94,0.929,5966311.72,2026-02-13 04:04:01
2020-04-23,0.939,0.931,0.94,0.93,5736348.37,2026-02-13 04:04:01
2020-04-24,0.928,0.915,0.931,0.911,9105333.45,2026-02-13 04:04:01
2020-04-27,0.915,0.913,0.923,0.911,6796845.1,2026-02-13 04:04:01
2020-04-28,0.922,0.925,0.93,0.906,12115600.98,2026-02-13 04:04:01
2020-04-29,0.918,0.926,0.931,0.917,7761104.07,2026-02-13 04:04:01
2020-04-30,0.931,0.947,0.949,0.931,14285284.11,2026-02-13 04:04:01
2020-05-06,0.931,0.95,0.95,0.93,14610135.19,2026-02-13 04:04:01
2020-05-07,0.947,0.943,0.955,0.941,10275331.1,2026-02-13 04:04:01
2020-05-08,0.95,0.961,0.97,0.945,20154569.7,2026-02-13 04:04:01
2020-05-11,0.963,0.954,0.966,0.947,10581478.59,2026-02-13 04:04:01
2020-05-12,0.957,0.951,0.959,0.943,7676644.45,2026-02-13 04:04:01
2020-05-13,0.945,0.951,0.954,0.943,7392403.66,2026-02-13 04:04:01
2020-05-14,0.946,0.938,0.947,0.937,8870319.52,2026-02-13 04:04:01
2020-05-15,0.944,0.94,0.947,0.939,7533183.35,2026-02-13 04:04:01
2020-05-18,0.939,0.936,0.944,0.932,7726868.39,2026-02-13 04:04:01
2020-05-19,0.945,0.941,0.946,0.938,8195095.01,2026-02-13 04:04:01
2020-05-20,0.939,0.934,0.943,0.933,10099803.93,2026-02-13 04:04:01
2020-05-21,0.936,0.926,0.938,0.925,8332339.93,2026-02-13 04:04:01
2020-05-22,0.925,0.905,0.926,0.903,14801611.22,2026-02-13 04:04:01
2020-05-25,0.902,0.9,0.907,0.897,8497448.06,2026-02-13 04:04:01
2020-05-26,0.904,0.909,0.91,0.903,7684984.21,2026-02-13 04:04:01
2020-05-27,0.908,0.899,0.909,0.898,6155874.8,2026-02-13 04:04:01
2020-05-28,0.9,0.911,0.923,0.9,12410208.57,2026-02-13 04:04:01
2020-05-29,0.905,0.907,0.91,0.904,5555455.07,2026-02-13 04:04:01
2020-06-01,0.93,0.946,0.95,0.924,22088647.32,2026-02-13 04:04:01
2020-06-02,0.943,0.943,0.95,0.939,8615507.54,2026-02-13 04:04:01
2020-06-03,0.946,0.934,0.95,0.932,9849152.04,2026-02-13 04:04:01
2020-06-04,0.937,0.929,0.939,0.928,8272891.69,2026-02-13 04:04:01
2020-06-05,0.93,0.939,0.94,0.924,10775974.38,2026-02-13 04:04:01
2020-06-08,0.943,0.934,0.943,0.933,7837436.85,2026-02-13 04:04:01
2020-06-09,0.935,0.943,0.951,0.934,11955063.9,2026-02-13 04:04:01
2020-06-10,0.941,0.936,0.941,0.933,6859123.85,2026-02-13 04:04:01
2020-06-11,0.936,0.93,0.949,0.93,12832658.02,2026-02-13 04:04:01
2020-06-12,0.916,0.929,0.933,0.914,9390773.16,2026-02-13 04:04:01
2020-06-15,0.93,0.927,0.948,0.926,12504344.51,2026-02-13 04:04:01
2020-06-16,0.935,0.936,0.94,0.931,8132959.89,2026-02-13 04:04:01
2020-06-17,0.936,0.933,0.937,0.927,8449162.73,2026-02-13 04:04:01
2020-06-18,0.932,0.943,0.95,0.93,12345932.4,2026-02-13 04:04:01
