date,open,close,high,low,volume,成交额,振幅,涨跌幅,涨跌额,换手率
2024-01-02,1.07,1.112,1.118,1.07,747834,177428114.0,4.48,3.73,0.04,0.9
2024-01-03,1.111,1.127,1.134,1.105,694297,167729080.0,2.61,1.35,0.015,0.84
2024-01-04,1.127,1.138,1.143,1.126,761731,185712738.0,1.51,0.98,0.011,0.92
2024-01-05,1.138,1.135,1.149,1.129,774884,189425482.0,1.76,-0.26,-0.003,0.94
2024-01-08,1.134,1.125,1.134,1.108,449536,108841949.0,2.29,-0.88,-0.01,0.54
2024-01-09,1.123,1.142,1.146,1.112,500773,121837552.0,3.02,1.51,0.017,0.6
2024-01-10,1.138,1.128,1.148,1.125,493702,120068977.0,2.01,-1.23,-0.014,0.6
2024-01-11,1.125,1.112,1.125,1.104,697771,167010563.0,1.86,-1.42,-0.016,0.84
2024-01-12,1.109,1.118,1.121,1.104,523330,125573816.0,1.53,0.54,0.006,0.63
2024-01-15,1.111,1.118,1.119,1.106,301802,72373631.0,1.16,0.0,0.0,0.36
2024-01-16,1.116,1.115,1.121,1.105,486231,116400593.0,1.43,-0.27,-0.003,0.59
2024-01-17,1.115,1.097,1.124,1.095,373799,89693868.0,2.6,-1.61,-0.018,0.45
2024-01-18,1.092,1.092,1.097,1.058,761884,176841231.0,3.56,-0.46,-0.005,0.92
2024-01-19,1.09,1.073,1.09,1.065,555455,129004665.0,2.29,-1.74,-0.019,0.67
2024-01-22,1.072,1.037,1.072,1.029,470853,107350239.0,4.01,-3.36,-0.036,0.57
2024-01-23,1.036,1.057,1.065,1.027,593883,134866939.0,3.66,1.93,0.02,0.72
2024-01-24,1.059,1.089,1.09,1.059,640236,148924992.0,2.93,3.03,0.032,0.77
2024-01-25,1.089,1.129,1.13,1.089,537963,129131113.0,3.76,3.67,0.04,0.65
2024-01-26,1.123,1.142,1.143,1.118,467148,113799284.0,2.21,1.15,0.013,0.56
2024-01-29,1.139,1.136,1.147,1.13,499602,122180051.0,1.49,-0.53,-0.006,0.6
2024-01-30,1.13,1.129,1.142,1.117,696762,169001708.0,2.2,-0.62,-0.007,0.84
