date,open,close,high,low,volume,成交额,振幅,涨跌幅,涨跌额,换手率,fetch_time
2020-01-02,0.359,0.363,0.364,0.356,1216770,132095345.0,2.24,1.68,0.006,0.88,2026-02-11 08:13:40
2020-01-03,0.365,0.365,0.368,0.362,1091916,119672140.0,1.65,0.55,0.002,0.79,2026-02-11 08:13:40
2020-01-06,0.362,0.368,0.372,0.361,1236408,136201176.0,3.01,0.82,0.003,0.89,2026-02-11 08:13:40
2020-01-07,0.368,0.37,0.37,0.365,602178,66523720.0,1.36,0.54,0.002,0.43,2026-02-11 08:13:40
2020-01-08,0.368,0.363,0.369,0.361,1062796,116311543.0,2.16,-1.89,-0.007,0.77,2026-02-11 08:13:40
2020-01-09,0.365,0.375,0.375,0.365,905635,100851270.0,2.75,3.31,0.012,0.65,2026-02-11 08:13:40
2020-01-10,0.377,0.376,0.379,0.372,614909,69222775.0,1.87,0.27,0.001,0.44,2026-02-11 08:13:40
2020-01-13,0.376,0.384,0.385,0.373,720048,81734958.0,3.19,2.13,0.008,0.52,2026-02-11 08:13:40
2020-01-14,0.385,0.379,0.386,0.378,617594,70642513.0,2.08,-1.3,-0.005,0.45,2026-02-11 08:13:40
2020-01-15,0.379,0.38,0.382,0.375,539001,61092304.0,1.85,0.26,0.001,0.39,2026-02-11 08:13:40
2020-01-16,0.38,0.38,0.383,0.378,465166,53104253.0,1.32,0.0,0.0,0.34,2026-02-11 08:13:40
2020-01-17,0.382,0.38,0.385,0.379,531780,60939956.0,1.58,0.0,0.0,0.38,2026-02-11 08:13:40
2020-01-20,0.383,0.393,0.393,0.381,622897,72592041.0,3.16,3.42,0.013,0.45,2026-02-11 08:13:40
2020-01-21,0.392,0.389,0.395,0.388,616761,72401780.0,1.78,-1.02,-0.004,0.45,2026-02-11 08:13:40
2020-01-22,0.385,0.395,0.398,0.38,922447,107403268.0,4.63,1.54,0.006,0.67,2026-02-11 08:13:40
2020-01-23,0.391,0.379,0.393,0.373,1183730,135885505.0,5.06,-4.05,-0.016,0.85,2026-02-11 08:13:40
2020-02-03,0.342,0.341,0.35,0.341,1270413,130731154.0,2.37,-10.03,-0.038,0.92,2026-02-11 08:13:40
2020-02-04,0.342,0.346,0.347,0.336,3164386,325112560.0,3.23,1.47,0.005,2.29,2026-02-11 08:13:40
2020-02-05,0.347,0.35,0.358,0.345,1852784,195235617.0,3.76,1.16,0.004,1.34,2026-02-11 08:13:40
2020-02-06,0.35,0.358,0.36,0.347,1392238,148063119.0,3.71,2.29,0.008,1.01,2026-02-11 08:13:40
2020-02-07,0.357,0.363,0.363,0.355,1080383,116568982.0,2.23,1.4,0.005,0.78,2026-02-11 08:13:40
2020-02-10,0.362,0.365,0.366,0.36,803293,87551002.0,1.65,0.55,0.002,0.58,2026-02-11 08:13:40
2020-02-11,0.367,0.366,0.369,0.362,710126,77969964.0,1.92,0.27,0.001,0.51,2026-02-11 08:13:40
2020-02-12,0.364,0.372,0.372,0.362,842344,92789078.0,2.73,1.64,0.006,0.61,2026-02-11 08:13:40
2020-02-13,0.371,0.369,0.375,0.366,796592,88471925.0,2.42,-0.81,-0.003,0.58,2026-02-11 08:13:40
2020-02-14,0.367,0.369,0.376,0.366,959840,106679703.0,2.71,0.0,0.0,0.69,2026-02-11 08:13:40
2020-02-17,0.373,0.391,0.392,0.373,1608883,184245735.0,5.15,5.96,0.022,1.16,2026-02-11 08:13:40
2020-02-18,0.391,0.394,0.394,0.385,1096043,128282039.0,2.3,0.77,0.003,0.79,2026-02-11 08:13:40
2020-02-19,0.393,0.392,0.401,0.389,1046620,124136370.0,3.05,-0.51,-0.002,0.76,2026-02-11 08:13:40
2020-02-20,0.393,0.402,0.402,0.389,941429,112027262.0,3.32,2.55,0.01,0.68,2026-02-11 08:13:40
2020-02-21,0.403,0.415,0.417,0.402,1057269,130179987.0,3.73,3.23,0.013,0.76,2026-02-11 08:13:40
